         640774 function calls (638121 primitive calls) in 0.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  153/144    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       40    0.000    0.000    0.000    0.000 core.py:108(get_object_signature)
  398/396    0.000    0.000    0.000    0.000 pyparsing.py:283(__init__)
     2942    0.000    0.000    0.000    0.000 {method 'strip' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 collections.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:3090(ArrowStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:654(_get_cachedir)
       22    0.000    0.000    0.000    0.000 {_io.open}
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:1018(ArtistInspector)
        1    0.000    0.000    0.000    0.000 urllib2.py:852(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 colors.py:48(<module>)
       50    0.000    0.000    0.000    0.000 pyparsing.py:1846(parseImpl)
       23    0.000    0.000    0.000    0.000 core.py:6329(__init__)
        1    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 version.py:63(StrictVersion)
       34    0.000    0.000    0.000    0.000 pyparsing.py:2351(__init__)
       50    0.000    0.000    0.000    0.000 colors.py:334(to_rgba)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       41    0.000    0.000    0.000    0.000 pyparsing.py:2234(__init__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1863(BoxStyle)
       23    0.000    0.000    0.000    0.000 core.py:6334(getdoc)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
      130    0.000    0.000    0.000    0.000 pyparsing.py:807(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      8/4    0.000    0.000    0.000    0.000 pyparsing.py:2261(leaveWhitespace)
       65    0.000    0.000    0.000    0.000 copy.py:306(_reconstruct)
       22    0.000    0.000    0.000    0.000 locale.py:449(_parse_localename)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       27    0.000    0.000    0.000    0.000 posixpath.py:358(abspath)
       55    0.000    0.000    0.000    0.000 docstring.py:88(__call__)
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2607(__init__)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
       60    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      714    0.000    0.000    0.000    0.000 {hasattr}
      398    0.000    0.000    0.000    0.000 pyparsing.py:274(__new__)
       22    0.000    0.000    0.000    0.000 locale.py:365(normalize)
       29    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
      144    0.000    0.000    0.000    0.000 colors.py:676(__init__)
       13    0.000    0.000    0.000    0.000 path.py:103(__init__)
        1    0.000    0.000    0.000    0.000 markers.py:78(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1721(_pprint_table)
      558    0.000    0.000    0.000    0.000 <string>:8(__new__)
      762    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 path.py:13(<module>)
       74    0.000    0.000    0.000    0.000 colors.py:231(hex2color)
        1    0.000    0.000    0.000    0.000 markers.py:97(MarkerStyle)
      117    0.000    0.000    0.000    0.000 re.py:138(match)
      142    0.000    0.000    0.000    0.000 {all}
        7    0.000    0.000    0.000    0.000 pyparsing.py:848(setResultsName)
        1    0.000    0.000    0.000    0.000 backend_agg.py:21(<module>)
       65    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 tz.py:9(<module>)
      558    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
      663    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       56    0.000    0.000    0.000    0.000 codecs.py:311(decode)
       18    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2982(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3223(oneOf)
      403    0.000    0.000    0.000    0.000 artist.py:1148(aliased_name)
      232    0.000    0.000    0.000    0.000 cbook.py:696(is_string_like)
      171    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
     1399    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
       58    0.000    0.000    0.000    0.000 pyparsing.py:546(copy)
      485    0.000    0.000    0.000    0.000 urllib.py:1217(<genexpr>)
      346    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 geo.py:1(<module>)
      885    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
       80    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       19    0.000    0.000    0.000    0.000 nosetester.py:511(_numpy_tester)
      558    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
       35    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetools.py:1(<module>)
       74    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
    61/58    0.000    0.000    0.000    0.000 pyparsing.py:109(_ustr)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
      403    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 path.py:1014(_define_deprecated_functions)
       22    0.000    0.000    0.000    0.000 contextlib.py:21(__exit__)
        1    0.000    0.000    0.000    0.000 version.py:228(LooseVersion)
        5    0.000    0.000    0.000    0.000 ssl.py:114(_import_symbols)
      149    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
        1    0.000    0.000    0.000    0.000 patches.py:2608(ConnectionStyle)
       12    0.000    0.000    0.000    0.000 {_functools.reduce}
       80    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
       79    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
      528    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
       13    0.000    0.000    0.000    0.000 cycler.py:279(cycler)
       24    0.000    0.000    0.000    0.000 rcsetup.py:734(<genexpr>)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
